user_id;skill_name;skill_id;problem_id;correct;time loap;question_level;template_id
121972;APA Referencing & Sources;7717;22652;1;36.96064378;Easy;2024001
121726;Clear & Focused Question;7717;98906;1;47.33293076;Hard;2024002
121972;Results-Driven Recommendations;3322;39413;1;44.73089596;Medium;2024003
121559;Clear & Focused Question;3322;99259;1;6.384358921;Easy;2024004
121927;Results-Driven Recommendations;5234;85599;1;16.49619826;Hard;2024005
121524;Psychometrically Sound Tools;5234;71553;1;38.76047352;Hard;2024006
121838;Quantitative vs. Qualitative;3360;70882;0;22.24346115;Hard;2024007
121540;Scientific Method Mastery;3360;29748;0;14.77291138;Easy;2024008
121909;Population & Representative Sample;1985;27623;1;34.41254577;Easy;2024009
121706;Scientific Method Mastery;1985;74567;0;16.60920643;Hard;2024010
121835;Quantitative vs. Qualitative;5648;81953;0;8.08010068;Hard;2024011
121672;Knowledge to Practice;5648;35759;1;59.00278929;Hard;2024012
121985;Results-Driven Recommendations;4122;32557;0;38.34549297;Medium;2024013
121770;Knowledge to Practice;4122;35873;0;36.50123184;Hard;2024014
121972;Clear & Focused Question;2977;59557;0;40.70700123;Hard;2024015
121797;Results-Driven Recommendations;2977;97074;1;22.21826416;Easy;2024016
121935;Clear & Focused Question;5757;28923;0;57.1247386;Easy;2024017
121694;APA Referencing & Sources;5757;35421;0;25.2865747;Easy;2024018
121894;Data Analysis & Interpretation;5836;29073;0;21.93271724;Hard;2024019
121621;Data Analysis & Interpretation;5836;61622;0;52.7182839;Easy;2024020
121867;Psychometrically Sound Tools;3024;85146;0;37.04293178;Medium;2024021
121742;Results-Driven Recommendations;3024;37689;0;41.7087767;Easy;2024022
121985;APA Referencing & Sources;2842;84465;1;50.90073216;Easy;2024023
121639;Quantitative vs. Qualitative;2842;26767;1;44.78704983;Hard;2024024
121927;Results-Driven Recommendations;5738;37369;0;20.73739009;Medium;2024025
121682;Scientific Method Mastery;5738;28766;0;31.19139005;Hard;2024026
121978;Quantitative vs. Qualitative;9200;62074;0;8.569916618;Medium;2024027
121726;Clear & Focused Question;9200;85500;0;34.42301646;Easy;2024028
121978;Data Analysis & Interpretation;9925;28550;1;36.75774383;Medium;2024029
121726;Results-Driven Recommendations;9925;72269;1;6.290886829;Easy;2024030
121960;Data Analysis & Interpretation;7093;95726;1;38.53676543;Easy;2024031
121661;Psychometrically Sound Tools;7093;80509;0;22.53864426;Easy;2024032
121833;Quantitative vs. Qualitative;2273;67096;0;32.62802856;Medium;2024033
121666;APA Referencing & Sources;2273;70991;0;29.97821536;Hard;2024034
121985;Data Analysis & Interpretation;4354;67485;1;39.66227521;Medium;2024035
121661;APA Referencing & Sources;4354;12123;1;15.24045086;Hard;2024036
121819;Clear & Focused Question;6920;16422;0;11.63162478;Easy;2024037
121726;Scientific Method Mastery;6920;47456;0;17.97704213;Hard;2024038
121923;Clear & Focused Question;3552;29208;0;52.704014;Easy;2024039
121672;Psychometrically Sound Tools;3552;70073;1;55.11076706;Medium;2024040
121972;Knowledge to Practice;1851;84218;1;38.47806757;Easy;2024041
121788;Knowledge to Practice;1851;88635;0;11.52589527;Medium;2024042
121935;Results-Driven Recommendations;1760;26687;1;9.423187601;Medium;2024043
121770;Data Analysis & Interpretation;1760;41177;0;8.341142286;Easy;2024044
121894;Data Analysis & Interpretation;2424;33509;0;11.33320383;Easy;2024045
121672;Quantitative vs. Qualitative;2424;26272;1;37.7242182;Hard;2024046
121985;Data Analysis & Interpretation;8556;99563;0;44.70907855;Easy;2024047
121742;Knowledge to Practice;8556;97981;0;22.23550779;Easy;2024048
121978;Scientific Method Mastery;7132;29094;0;11.32595718;Medium;2024049
121782;Population & Representative Sample;7132;77124;0;14.55082482;Hard;2024050
121985;Quantitative vs. Qualitative;9381;40316;0;39.50780053;Easy;2024051
121786;Clear & Focused Question;9381;16100;1;58.23772398;Easy;2024052
121978;Population & Representative Sample;7786;29291;1;31.3763726;Hard;2024053
121786;Results-Driven Recommendations;7786;74814;0;30.09311781;Medium;2024054
121960;Scientific Method Mastery;9461;73385;1;26.7379578;Hard;2024055
121797;Psychometrically Sound Tools;9461;38608;0;25.76102864;Hard;2024056
121927;Results-Driven Recommendations;9481;65634;1;19.48094029;Hard;2024057
121612;Scientific Method Mastery;9481;49842;0;43.69232029;Easy;2024058
121838;APA Referencing & Sources;7599;60448;1;6.750856755;Easy;2024059
121558;APA Referencing & Sources;7599;60488;1;40.47940472;Medium;2024060
121978;Data Analysis & Interpretation;3634;43688;1;48.75767804;Easy;2024061
121786;Knowledge to Practice;3634;89738;1;6.375630722;Medium;2024062
121972;Scientific Method Mastery;6918;16239;1;53.63759992;Medium;2024063
121661;Results-Driven Recommendations;6918;21523;0;6.616736483;Medium;2024064
121972;Quantitative vs. Qualitative;1803;33873;0;32.8838922;Medium;2024065
121799;Data Analysis & Interpretation;1803;21868;1;25.44493279;Hard;2024066
121823;Scientific Method Mastery;6453;37620;0;45.28758541;Easy;2024067
121612;Knowledge to Practice;6453;97194;0;36.83895662;Easy;2024068
121985;Clear & Focused Question;7849;71631;0;47.89619189;Medium;2024069
121682;APA Referencing & Sources;7849;42482;1;21.14989674;Hard;2024070
121985;Data Analysis & Interpretation;7801;85283;1;32.31347172;Medium;2024071
121798;APA Referencing & Sources;7801;45651;0;41.88921728;Hard;2024072
121985;Scientific Method Mastery;5031;38477;1;23.93710823;Easy;2024073
121788;Knowledge to Practice;5031;18030;0;28.0664672;Easy;2024074
121854;Population & Representative Sample;1021;32429;1;24.14895449;Easy;2024075
121726;Results-Driven Recommendations;1021;28259;1;26.1776297;Easy;2024076
121923;Data Analysis & Interpretation;8797;45251;0;51.10644883;Medium;2024077
121682;Population & Representative Sample;8797;11811;1;45.1838652;Hard;2024078
121935;Results-Driven Recommendations;6605;83833;0;51.32940137;Easy;2024079
121661;Population & Representative Sample;6605;26662;0;7.797149539;Hard;2024080
121867;Data Analysis & Interpretation;1238;99509;0;39.07288961;Medium;2024081
121612;Clear & Focused Question;1238;59678;1;20.25299754;Easy;2024082
121909;Population & Representative Sample;3851;88566;0;34.16409818;Medium;2024083
121595;Quantitative vs. Qualitative;3851;95035;0;17.29227492;Hard;2024084
121972;Knowledge to Practice;2288;41358;1;36.30196536;Hard;2024085
121694;Quantitative vs. Qualitative;2288;44939;1;51.69818756;Easy;2024086
121972;Psychometrically Sound Tools;9253;97674;1;42.65773514;Medium;2024087
121803;Clear & Focused Question;9253;80322;0;21.69097149;Hard;2024088
121935;Scientific Method Mastery;6465;25718;0;17.74959896;Medium;2024089
121804;APA Referencing & Sources;6465;91960;1;15.89732648;Hard;2024090
121923;Population & Representative Sample;8202;85910;1;22.2521741;Medium;2024091
121666;Population & Representative Sample;8202;35861;1;9.206482311;Hard;2024092
121978;APA Referencing & Sources;5428;87390;1;47.2976153;Medium;2024093
121621;Quantitative vs. Qualitative;5428;52615;1;36.6265647;Easy;2024094
121854;Quantitative vs. Qualitative;7246;77000;1;48.6815123;Medium;2024095
121726;APA Referencing & Sources;7246;60643;0;47.12540116;Hard;2024096
121985;Results-Driven Recommendations;8293;66740;1;21.7626717;Hard;2024097
121661;APA Referencing & Sources;8293;79262;1;20.73316913;Easy;2024098
121838;Population & Representative Sample;3599;45732;1;37.06551105;Medium;2024099
121621;Quantitative vs. Qualitative;3599;26547;0;39.09571312;Easy;2024100
121972;Population & Representative Sample;2515;42290;1;27.44012613;Medium;2024101
121706;Results-Driven Recommendations;2515;47171;0;10.26240788;Hard;2024102
121985;Data Analysis & Interpretation;2332;25056;1;25.25999314;Hard;2024103
121799;Results-Driven Recommendations;2332;48668;1;22.66466428;Easy;2024104
121985;Psychometrically Sound Tools;3804;61284;0;31.05585505;Easy;2024105
121595;Population & Representative Sample;3804;75373;0;23.29315244;Easy;2024106
121972;Scientific Method Mastery;4250;92065;1;45.10744492;Hard;2024107
121803;Data Analysis & Interpretation;4250;18613;0;34.55570694;Easy;2024108
121798;APA Referencing & Sources;6333;93183;0;47.88844862;Hard;2024109
121621;Psychometrically Sound Tools;6333;40078;1;13.77871649;Hard;2024110
121978;Psychometrically Sound Tools;8079;58740;0;18.94891452;Hard;2024111
121835;Results-Driven Recommendations;8079;89790;0;38.25839301;Medium;2024112
121923;Scientific Method Mastery;1402;45856;0;33.53235119;Hard;2024113
121835;Data Analysis & Interpretation;1402;42028;1;53.80924506;Hard;2024114
121972;Scientific Method Mastery;5945;89938;0;23.39746844;Medium;2024115
121560;Knowledge to Practice;5945;54197;0;47.26774609;Medium;2024116
